title,genre,director,production_company,release_date,budget,runtime,mpaa_rating,trailer_views,trailer_likes,cast_popularity_score,vote_average,vote_count,revenue,release_year,release_month,budget_to_runtime_ratio,trailer_engagement_rate
The War War,Thriller,Quentin Tarantino,MGM,2021-12-19,37725927,92,R,25693482,1198274,9.5,5.9,71809,785009799,2021,12,410064.42391304346,0.04663727555494425
Future Shadow,Fantasy,Jordan Peele,Marvel Studios,2022-01-11,67574958,103,PG,46096763,1243154,1.94,6.7,93109,2963454690,2022,1,656067.5533980583,0.026968357843261143
The Knight,Adventure,Greta Gerwig,Disney,2017-11-25,59711545,114,R,42393164,1109764,3.85,5.9,16506,1158449821,2017,11,523785.48245614034,0.026177899814224765
An Queen Dragon,Thriller,David Fincher,20th Century Fox,2024-03-21,93680762,91,R,10590690,331898,2.23,6.0,72529,460232458,2024,3,1029458.9230769231,0.03133865687693625
An Peace Quest,Animation,Greta Gerwig,20th Century Fox,2021-01-09,78487621,150,G,20547477,378117,7.67,7.6,28752,6408153626,2021,1,523250.80666666664,0.018402113310553893
An Future,Fantasy,Denis Villeneuve,DreamWorks,2015-10-27,128021481,132,G,16923361,235710,7.53,6.4,44365,3682715252,2015,10,969859.7045454546,0.013928084379929023
The Sun,Romance,David Fincher,Universal Pictures,2015-01-20,47038976,105,PG,47894874,1896284,4.93,8.2,18603,9038528626,2015,1,447990.24761904764,0.03959262947429405
A Journey Kingdom,Drama,James Cameron,Warner Bros,2023-02-27,100240021,177,G,34136160,1203813,8.31,6.9,78337,1883915244,2023,2,566327.802259887,0.03526503859836607
The Magic Empire,Fantasy,Jordan Peele,Warner Bros,2019-06-14,147674417,122,G,44571600,871607,9.68,8.9,90674,5349258364,2019,6,1210446.0409836066,0.019555210044063933
The Mountain Kingdom,Adventure,James Cameron,Sony Pictures,2017-08-16,91491302,132,PG,34854689,1614087,4.25,6.3,60591,18751326013,2017,8,693115.9242424242,0.04630903463232738
An Fire,Animation,Unknown Director A,Warner Bros,2020-10-17,38767356,114,G,34753123,911702,8.36,5.7,64191,3916056180,2020,10,340064.5263157895,0.02623367114374153
The Hero King,Sci-Fi,Unknown Director C,Sony Pictures,2023-01-29,80424125,150,R,32246566,594244,2.45,8.2,3942,2304312023,2023,1,536160.8333333334,0.01842813278164255
The Queen Past,Action,Unknown Director B,Paramount,2015-12-18,108141353,118,R,32424219,545461,8.47,7.0,77368,2450965721,2015,12,916452.1440677966,0.016822641125141674
A Knight Dream,Fantasy,Unknown Director A,20th Century Fox,2024-04-08,90147527,128,G,12006601,348608,6.53,4.2,70655,506575880,2024,4,704277.5546875,0.029034695164768115
A Shadow Future,Fantasy,David Fincher,Disney,2023-12-31,179419026,140,R,23622852,792828,7.67,7.8,92318,2733667657,2023,12,1281564.4714285715,0.03356190861289737
Storm Mountain,Fantasy,Steven Spielberg,DreamWorks,2015-01-30,180671316,131,PG,46255244,1950652,4.68,4.5,56846,26718173828,2015,1,1379170.3511450381,0.04217147789772766
A Princess Light,Fantasy,Denis Villeneuve,Paramount,2018-06-10,142437441,139,R,49477523,768026,8.77,4.6,31116,950834706,2018,6,1024729.7913669065,0.015522725339342472
An Love Ocean,Adventure,Unknown Director D,Universal Pictures,2020-04-15,85563579,117,G,4400366,90311,4.34,7.0,95960,2276078967,2020,4,731312.641025641,0.020523520089010778
The Fire,Fantasy,James Cameron,Disney,2015-05-18,290442510,128,PG,41384701,694406,1.32,5.2,1037,91722385014,2015,5,2269082.109375,0.01677929242499541
The Secret,Fantasy,Greta Gerwig,Sony Pictures,2018-11-24,124224510,104,PG,30618360,1444836,6.17,5.3,54363,3409899585,2018,11,1194466.4423076923,0.04718854961532884
A Adventure Hero,Thriller,Unknown Director C,Disney,2023-06-30,50588495,139,R,45841044,1303206,6.28,4.1,16239,459262636,2023,6,363946.0071942446,0.028428802799517393
The Fire Hero,Sci-Fi,Unknown Director A,Sony Pictures,2015-11-08,198861284,179,PG,32081095,723586,2.97,6.9,24957,6834550140,2015,11,1110956.8938547487,0.022554903440795894
An Hero,Adventure,Steven Spielberg,Warner Bros,2022-07-31,258086544,121,G,36437701,1760659,8.63,5.9,42342,65627417339,2022,7,2132946.644628099,0.04831970600999223
Storm,Thriller,Jordan Peele,Marvel Studios,2020-08-20,51612335,115,PG-13,30781906,1510169,7.28,6.3,91336,357795687,2020,8,448802.9130434783,0.04906028236198239
Fire,Sci-Fi,Quentin Tarantino,20th Century Fox,2022-11-10,149941105,143,R,18865620,528787,6.14,8.9,90916,6282667567,2022,11,1048539.1958041958,0.028029134478485204
Storm,Fantasy,Jordan Peele,Sony Pictures,2023-10-22,180626115,109,PG-13,37824472,1677140,1.43,4.5,22409,1510929101,2023,10,1657120.3211009174,0.04434007697450476
Kingdom,Animation,Quentin Tarantino,MGM,2021-06-16,92223468,131,G,19199768,464718,7.06,6.4,97537,10873027322,2021,6,703995.9389312977,0.024204354969289212
The Knight Dragon,Adventure,Martin Scorsese,Sony Pictures,2017-07-23,47074850,110,PG-13,47776384,988918,6.8,5.4,59313,13883467176,2017,7,427953.1818181818,0.020698887550803343
The Mystery War,Drama,Martin Scorsese,20th Century Fox,2016-02-26,17825003,124,R,36904765,448504,7.94,6.6,11911,215115597,2016,2,143750.0241935484,0.012153010593618466
The Fire,Romance,Unknown Director D,Sony Pictures,2024-09-09,68908407,119,PG-13,36912250,1025931,9.73,7.5,24204,3260092695,2024,9,579062.243697479,0.027793781197299
Journey,Sci-Fi,James Cameron,Universal Pictures,2018-05-28,82833556,120,PG,23177726,497637,5.82,7.4,65478,6281334666,2018,5,690279.6333333333,0.021470484205396163
Fire Sun,Sci-Fi,Unknown Director D,20th Century Fox,2017-06-22,120593230,125,R,42064717,823731,7.88,8.5,91954,9398834065,2017,6,964745.84,0.01958246860426994
Star Sun,Drama,Ridley Scott,Marvel Studios,2016-09-15,11661503,154,G,12578060,614982,3.54,4.6,58464,230921881,2016,9,75724.04545454546,0.04889323154763135
The Mystery Dragon,Comedy,Christopher Nolan,Paramount,2023-09-13,185339918,94,R,12287220,217332,8.57,8.1,2653,7469215154,2023,9,1971701.255319149,0.01768764618847876
The Hero Mountain,Horror,Ridley Scott,Universal Pictures,2022-01-21,10662097,137,PG-13,17099530,500147,3.69,5.8,7827,524792297,2022,1,77825.52554744526,0.029249166497558706
A Quest Peace,Thriller,Unknown Director B,MGM,2016-09-26,54848284,139,PG-13,16791468,273834,1.82,7.1,82937,1187191873,2016,9,394591.97122302157,0.016307924953315577
A Sun War,Action,Unknown Director B,20th Century Fox,2019-01-07,86166892,106,G,32668074,1250045,6.03,6.7,65237,1183032268,2019,1,812895.2075471698,0.03826503515328146
A War Adventure,Romance,Denis Villeneuve,Marvel Studios,2023-09-14,90634408,122,R,49334937,859482,1.17,8.3,82290,880398172,2023,9,742904.9836065574,0.01742136612032159
An Mountain Star,Fantasy,Unknown Director A,Warner Bros,2015-06-29,84836014,101,G,13661294,195113,2.72,4.2,85115,2470348684,2015,6,839960.5346534654,0.014282175612354144
An Peace Princess,Adventure,Denis Villeneuve,Marvel Studios,2019-01-18,79896161,137,R,24867777,1038726,1.52,7.1,70339,1370369492,2019,1,583183.6569343066,0.04176995796608599
Journey,Comedy,Jordan Peele,DreamWorks,2019-08-28,19161873,139,PG-13,45364429,1286028,6.99,8.4,22864,1521059322,2019,8,137855.20143884892,0.028348819291872933
The Secret King,Sci-Fi,Unknown Director D,Sony Pictures,2021-10-28,114618469,156,PG,25270056,1026680,9.34,5.3,60297,1384430044,2021,10,734733.7756410256,0.04062832310304338
An Mystery Mystery,Horror,Jordan Peele,DreamWorks,2021-03-28,81593789,149,PG-13,6427502,73977,4.2,4.7,49114,4024090017,2021,3,547609.322147651,0.011509447993948504
A Mystery,Animation,Unknown Director D,Warner Bros,2021-09-04,91201956,109,G,49142443,2080378,4.43,7.9,44829,3997003266,2021,9,836715.1926605505,0.042333630015097136
A Hero,Action,Ridley Scott,DreamWorks,2021-05-02,90152580,110,PG,10380909,124786,7.58,6.0,59407,2823087044,2021,5,819568.9090909091,0.012020719958146247
A War Legend,Sci-Fi,Unknown Director C,Universal Pictures,2023-07-19,86204095,150,PG,32839804,847685,6.14,6.8,97425,4528664475,2023,7,574693.9666666667,0.025812730185600378
A Secret,Horror,Martin Scorsese,Sony Pictures,2021-11-29,64352435,129,PG-13,29659000,349830,8.36,5.0,49997,3713898557,2021,11,498856.0852713178,0.011795070636231836
The Peace Knight,Thriller,Christopher Nolan,Sony Pictures,2017-05-06,278645722,124,PG-13,13776877,438889,7.75,6.7,82663,8000667868,2017,5,2247142.919354839,0.031856929549418204
An Mountain,Action,Steven Spielberg,20th Century Fox,2022-05-28,152829324,132,PG-13,7340471,79006,8.81,7.2,31299,7332859227,2022,5,1157797.9090909092,0.010763069563247372
An Fire Shadow,Fantasy,James Cameron,Sony Pictures,2020-06-29,185602458,137,PG,1332939,31818,4.17,7.1,31959,16733295394,2020,6,1354762.4671532847,0.02387055971803661
An Love Empire,Sci-Fi,Unknown Director A,Universal Pictures,2015-12-26,152597942,153,PG,28106766,551298,2.37,8.9,80346,7720560995,2015,12,997372.1699346405,0.019614423089444014
The Adventure Love,Comedy,Unknown Director A,MGM,2016-10-09,47613620,94,G,12457105,282824,8.92,7.6,42771,2667410355,2016,10,506527.87234042556,0.022703830464622397
The Hero,Animation,Greta Gerwig,Paramount,2021-10-16,81107235,129,G,40121088,773827,7.19,5.8,91196,8741161459,2021,10,628738.2558139535,0.019287288520191674
An Journey Mountain,Horror,David Fincher,Disney,2023-04-29,95105606,102,PG-13,4538333,77528,9.59,6.2,81879,3400256765,2023,4,932407.9019607843,0.017082924501132905
The Ocean Fire,Fantasy,Unknown Director A,Marvel Studios,2020-11-02,79344368,118,R,2946483,132919,3.21,6.7,97360,666371314,2020,11,672409.8983050848,0.045111069705815375
A Love Moon,Fantasy,Martin Scorsese,Lions Gate,2024-04-22,171251783,95,G,12164253,500549,9.44,7.5,18734,5762644855,2024,4,1802650.347368421,0.04114917701892586
An Magic Star,Adventure,Steven Spielberg,Warner Bros,2022-12-02,200634469,130,PG-13,5824825,180294,4.46,8.0,68065,10635072550,2022,12,1543342.0692307693,0.030952689565780945
The Knight Moon,Horror,James Cameron,Lions Gate,2018-03-28,248162156,101,PG-13,8929582,432346,1.03,7.8,2600,13840820367,2018,3,2457051.0495049506,0.0484172719394928
The Ocean,Fantasy,James Cameron,MGM,2022-01-18,229665824,142,PG,3382885,58840,1.5,5.7,20054,20927598733,2022,1,1617364.957746479,0.017393437849646087
The King,Fantasy,Martin Scorsese,Lions Gate,2023-05-28,146687403,149,G,6349599,258685,3.91,8.5,9869,8639900679,2023,5,984479.2147651006,0.040740368013791106
An Magic Storm,Fantasy,Steven Spielberg,Lions Gate,2023-02-13,264859224,128,PG-13,28759082,987983,3.85,6.6,82689,18991034020,2023,2,2069212.6875,0.03435377387915233
A Knight Dragon,Adventure,Unknown Director B,Disney,2023-12-20,87585240,116,R,3152929,73626,6.04,7.2,2480,2787239712,2023,12,755045.1724137932,0.02335162003330871
Shadow Ocean,Comedy,Quentin Tarantino,Sony Pictures,2024-05-08,50357116,149,R,31943186,1338105,6.81,6.4,83208,972244532,2024,5,337967.22147651005,0.04189015460136005
The Hero Dragon,Animation,Unknown Director A,Sony Pictures,2023-12-19,52458790,94,G,18921353,825530,4.05,5.9,71028,1559605041,2023,12,558072.2340425532,0.04362954382807614
An Mystery Adventure,Thriller,Unknown Director D,Paramount,2017-06-04,75477785,109,PG-13,7631713,190553,1.34,5.0,13137,2051326684,2017,6,692456.743119266,0.024968575207165153
A Dragon,Fantasy,Unknown Director A,Universal Pictures,2017-04-20,59811997,119,R,47994078,2140171,2.04,5.6,6771,1772442471,2017,4,502621.82352941175,0.04459239742036507
Past,Drama,James Cameron,Paramount,2020-12-20,165671119,169,R,45138372,663806,2.34,5.4,2999,22538156651,2020,12,980302.4792899408,0.014706024399816634
The Legend Hero,Fantasy,Denis Villeneuve,Marvel Studios,2016-06-16,57782664,120,G,7208635,182695,1.78,6.0,93363,1723069716,2016,6,481522.2,0.025343910462937852
A Past Mystery,Thriller,Greta Gerwig,Universal Pictures,2016-01-16,98764425,119,PG-13,30673736,687572,6.8,7.8,62675,1271361812,2016,1,829953.1512605041,0.022415658790308424
A Peace,Thriller,Steven Spielberg,Sony Pictures,2020-05-14,203813620,144,PG-13,19041971,775344,6.44,4.6,14491,10245589581,2020,5,1415372.361111111,0.04071763369453719
An Ocean Mountain,Adventure,Ridley Scott,Disney,2024-02-16,98155137,127,R,29316092,958297,4.08,7.5,23686,2382372972,2024,2,772875.094488189,0.03268842927631691
The Ocean,Adventure,Unknown Director A,MGM,2023-08-26,55856575,110,R,43384486,1579481,1.81,8.1,77122,3834820074,2023,8,507787.04545454547,0.03640658552460435
A Knight Legend,Horror,David Fincher,Sony Pictures,2016-01-01,83212291,90,R,8660117,381912,1.56,8.5,7963,1525791283,2016,1,924581.0111111111,0.044100097031021634
Magic,Drama,Unknown Director A,Universal Pictures,2020-04-29,23665507,132,R,24278510,1058506,2.39,9.0,88826,523687566,2020,4,179284.14393939395,0.0435984745357108
A Sun Quest,Animation,David Fincher,MGM,2017-01-06,65987778,122,PG,37147450,1590016,4.46,5.1,56675,4221059636,2017,1,540883.4262295082,0.04280283034232498
A Ocean,Thriller,Unknown Director B,Warner Bros,2016-08-04,75653292,144,R,31301348,960262,5.71,7.1,33142,1546502095,2016,8,525370.0833333334,0.03067797591336961
An Star Mountain,Thriller,Greta Gerwig,Sony Pictures,2019-09-21,52367387,141,R,19508450,325797,7.26,7.0,40855,1337924406,2019,9,371399.90780141845,0.016700301664150662
A Shadow Quest,Horror,James Cameron,Universal Pictures,2021-11-27,155422829,107,R,1053147,41764,6.43,8.6,97857,10656222100,2021,11,1452549.8037383177,0.039656382252430095
The War,Comedy,Unknown Director D,Lions Gate,2023-06-11,60424925,139,R,16068382,585317,7.53,4.8,76727,452190576,2023,6,434711.690647482,0.036426629638254805
Fire Storm,Sci-Fi,Denis Villeneuve,Paramount,2016-08-17,192389474,175,R,896115,19312,8.18,5.9,42377,1721991068,2016,8,1099368.4228571428,0.021550805421179202
Kingdom Light,Animation,David Fincher,Lions Gate,2023-09-02,95636039,137,G,49378941,1820877,7.93,6.6,89829,7543207697,2023,9,698073.2773722628,0.036875578194356176
A Fire Adventure,Action,Greta Gerwig,Warner Bros,2015-08-21,108203440,150,G,47618115,2300517,1.78,7.0,50277,6214265467,2015,8,721356.2666666667,0.04831180318666541
Empire Shadow,Sci-Fi,Unknown Director B,Sony Pictures,2017-11-20,93477424,169,G,18708447,768622,4.45,5.7,8872,1091497993,2017,11,553120.852071006,0.04108422254396637
An Kingdom Dragon,Adventure,Denis Villeneuve,Paramount,2016-02-28,9678950,94,G,38442284,1503162,8.0,4.1,66234,209297234,2016,2,102967.55319148937,0.03910178698019087
An Adventure Legend,Adventure,Jordan Peele,Disney,2015-01-14,56596498,134,R,8233839,269162,9.42,5.8,90369,1123449155,2015,1,422361.9253731343,0.03268973318521288
An Quest Secret,Sci-Fi,Unknown Director A,Disney,2018-05-09,154717939,177,G,42419994,1593027,5.38,8.4,58407,11203463644,2018,5,874112.6497175142,0.037553682822303085
An Mystery Legend,Action,Christopher Nolan,Sony Pictures,2015-08-18,170655646,140,G,27313171,402254,8.26,7.3,61079,21540474975,2015,8,1218968.9,0.014727473422987027
An King Star,Comedy,Christopher Nolan,Universal Pictures,2022-02-04,93410496,147,PG-13,6629171,187256,2.54,7.0,14937,3951706621,2022,2,635445.5510204082,0.0282472725473517
The War Ocean,Romance,Unknown Director D,Disney,2023-07-28,11118522,127,PG,22615274,283343,3.47,7.8,23026,119226408,2023,7,87547.41732283465,0.012528833389327938
An Mystery Princess,Comedy,Steven Spielberg,MGM,2024-12-11,156163607,116,R,46563381,701975,2.29,5.4,60037,4729078626,2024,12,1346237.9913793104,0.015075687910205662
A Kingdom,Adventure,Jordan Peele,Warner Bros,2021-12-10,53573570,145,PG,31253008,1275536,6.93,5.4,26391,1902271715,2021,12,369472.8965517241,0.04081322348236048
An Magic Empire,Thriller,Christopher Nolan,Warner Bros,2023-04-21,94081204,149,PG-13,10706261,443449,5.37,4.6,31841,3098886890,2023,4,631417.4765100671,0.04141959550584466
The King Ocean,Drama,Steven Spielberg,Lions Gate,2021-07-24,210032206,123,R,9826844,183237,6.48,4.9,49953,2275893640,2021,7,1707578.9105691058,0.018646576662863477
An Knight Peace,Romance,Quentin Tarantino,Paramount,2021-10-08,26043745,140,PG,38897073,1898388,8.7,4.4,69389,946985223,2021,10,186026.75,0.04880542039757079
An Past,Comedy,Greta Gerwig,Marvel Studios,2019-09-08,10935671,92,R,49322761,2009619,1.3,6.7,63818,453591764,2019,9,118865.98913043478,0.040744251928637974
Knight King,Action,Denis Villeneuve,Paramount,2016-10-24,173287797,144,G,30623849,874323,2.25,7.5,25241,15701947803,2016,10,1203387.4791666667,0.028550395477720647
An War Past,Fantasy,Greta Gerwig,Disney,2023-11-01,71732276,129,PG-13,49476070,2339710,5.63,8.6,48708,5568687619,2023,11,556064.1550387597,0.04728973016652293
An Light Storm,Adventure,Unknown Director A,Lions Gate,2023-04-09,82862305,145,PG,15228836,347499,9.08,6.5,56434,3126462495,2023,4,571464.1724137932,0.02281848724354245
An Love Love,Adventure,Quentin Tarantino,Lions Gate,2015-12-24,15760289,115,PG,19452363,940137,1.69,4.8,15683,1844633136,2015,12,137045.99130434782,0.04833022085800064
A Future Dream,Horror,Quentin Tarantino,Warner Bros,2015-04-01,36182544,143,R,27728164,919138,6.9,7.9,64720,2635061836,2015,4,253024.78321678322,0.0331481738206684
A Knight,Action,Martin Scorsese,Sony Pictures,2018-03-10,172386846,100,PG,47868906,1503690,2.64,4.9,93813,16805259185,2018,3,1723868.46,0.031412666919941726
An Hero Moon,Romance,Martin Scorsese,Sony Pictures,2020-01-11,77459667,100,PG-13,8253057,386386,4.64,6.5,20055,4831066193,2020,1,774596.67,0.04681731872202022
A Knight,Comedy,Unknown Director C,MGM,2023-03-04,64338400,111,G,49199564,1434622,1.36,7.4,16319,375658505,2023,3,579625.2252252252,0.029159242142877528
A Journey,Fantasy,Unknown Director D,Lions Gate,2022-08-05,73455067,122,R,13149321,389464,6.43,6.6,8346,3879442509,2022,8,602090.7131147541,0.029618563574499397
Magic Sun,Thriller,Unknown Director B,20th Century Fox,2024-01-05,64391930,108,PG-13,48955297,2389724,4.81,8.5,19293,8019788429,2024,1,596221.574074074,0.0488144112372559
Peace Ocean,Horror,David Fincher,Universal Pictures,2021-03-26,67024691,135,PG-13,13471948,234954,4.44,6.8,6535,2215418091,2021,3,496479.1925925926,0.017440239525865153
A Princess Princess,Horror,David Fincher,Universal Pictures,2020-07-07,97320749,131,PG-13,2008749,29677,3.49,9.0,9745,5553908087,2020,7,742906.4809160306,0.01477387169825598
Fire Journey,Animation,Christopher Nolan,Universal Pictures,2018-08-02,203760547,146,G,24083732,398160,3.45,6.1,47659,26251174353,2018,8,1395620.1849315069,0.016532321485723225
The Ocean Queen,Horror,James Cameron,Sony Pictures,2016-01-28,223457363,127,R,9744719,102474,5.66,5.9,64556,18257221864,2016,1,1759506.7952755906,0.010515849661750124
The Queen,Adventure,David Fincher,Lions Gate,2015-11-09,20645176,142,PG,1266311,36951,3.8,5.8,58925,627203153,2015,11,145388.5633802817,0.029180035552087914
Mystery,Comedy,Steven Spielberg,20th Century Fox,2022-09-30,284822611,140,G,5316727,57166,5.36,6.2,26736,3223500126,2022,9,2034447.2214285715,0.010752103690860937
The Love Journey,Drama,Martin Scorsese,Sony Pictures,2015-04-30,17184193,129,PG-13,39006454,932779,2.45,6.5,96493,1994810882,2015,4,133210.7984496124,0.023913452886540263
An Queen Ocean,Drama,Jordan Peele,Lions Gate,2019-02-10,98701812,157,PG,29605474,1093656,1.97,8.2,50756,1027705279,2019,2,628673.9617834395,0.03694100624769595
Moon Mountain,Thriller,Steven Spielberg,20th Century Fox,2018-03-07,202660444,128,R,46206913,2266317,5.0,6.8,39088,27875904661,2018,3,1583284.71875,0.049047141495905604
A King Sun,Adventure,Steven Spielberg,Universal Pictures,2019-06-06,187541763,134,G,49856669,2343842,9.8,4.3,27094,35444232799,2019,6,1399565.3955223882,0.04701160440542067
An Queen Fire,Sci-Fi,Ridley Scott,Lions Gate,2022-06-23,158567001,151,PG-13,9990108,406797,1.97,5.3,66178,3495631131,2022,6,1050112.5894039734,0.04071998020441821
An Queen Queen,Adventure,Unknown Director A,DreamWorks,2023-08-10,71060289,140,R,13651410,296816,5.48,6.5,72098,497051805,2023,8,507573.4928571429,0.02174251597454036
A Shadow,Fantasy,Unknown Director A,Paramount,2024-12-02,94062134,121,R,9125353,205305,4.5,7.8,75560,2647651504,2024,12,777373.0082644628,0.022498307736697965
An Fire Shadow,Horror,Ridley Scott,Marvel Studios,2015-04-26,84250658,92,PG-13,24689365,591435,7.68,4.1,82940,1692735372,2015,4,915768.0217391305,0.023955051091836505
The Journey,Romance,Martin Scorsese,Marvel Studios,2021-01-14,48770661,92,R,44242048,1970308,6.11,8.5,35946,3241570654,2021,1,530115.8804347826,0.04453473763239894
A Princess,Romance,Martin Scorsese,MGM,2018-05-11,53765904,117,PG,33449864,1184719,9.77,4.4,71232,2506941353,2018,5,459537.641025641,0.03541775237113072
Empire,Fantasy,Denis Villeneuve,20th Century Fox,2017-05-09,143232058,140,G,43823895,1882216,5.54,5.5,87960,4559147706,2017,5,1023086.1285714286,0.04294953700486915
The Storm Moon,Thriller,James Cameron,DreamWorks,2024-01-27,244932728,144,R,38091431,1488026,1.54,5.0,61619,11355873263,2024,1,1700921.7222222222,0.03906458646827944
The Sun Ocean,Horror,Unknown Director A,MGM,2017-08-25,59474404,105,PG-13,10163796,179661,3.21,8.1,61838,639449112,2017,8,566422.8952380952,0.017676564936958593
Dream Adventure,Thriller,Unknown Director C,Marvel Studios,2015-08-15,16264832,110,R,4366895,200977,4.66,5.8,87170,259439745,2015,8,147862.1090909091,0.046022860636676634
An Queen War,Thriller,Steven Spielberg,Disney,2021-09-22,112823436,139,R,22198003,961026,7.64,8.0,98512,5101390097,2021,9,811679.3956834532,0.04329335391116039
Past King,Sci-Fi,Denis Villeneuve,Disney,2018-02-11,88899392,143,R,48127883,1189219,3.77,7.2,80405,1291320371,2018,2,621674.06993007,0.02470956389251528
